--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Bamako Mali (Havana)? : Cuba
wide wider (tall)? : taller
wide wider (tight)? : tighter
wide wider (tough)? : tougher
wide wider (weak)? : weaker
young younger (bright)? : brighter
young younger (cheap)? : cheaper
young younger (deep)? : deeper
young younger (easy)? : easier
young younger (fast)? : faster
young younger (hard)? : harder
young younger (large)? : larger
young younger (loud)? : louder
young younger (quick)? : quicker
young younger (simple)? : simpler
young younger (small)? : smaller
young younger (smart)? : smarter
young younger (tight)? : tighter
young younger (tough)? : tougher
young younger (weak)? : weaker
young younger (wide)? : wider

--------------------- gram4-superlative.txt---------------------
bad worst (strong)? : strongest
big biggest (simple)? : simplest
big biggest (strong)? : strongest
bright brightest (simple)? : simplest
bright brightest (strong)? : strongest
cold coldest (simple)? : simplest
cold coldest (strong)? : strongest
cool coolest (simple)? : simplest
cool coolest (strong)? : strongest
cool coolest (weak)? : weakest
dark darkest (simple)? : simplest
dark darkest (strong)? : strongest
easy easiest (simple)? : simplest
easy easiest (smart)? : smartest
easy easiest (strong)? : strongest
fast fastest (simple)? : simplest
fast fastest (strong)? : strongest
good best (simple)? : simplest
great greatest (simple)? : simplest
high highest (simple)? : simplest
high highest (smart)? : smartest
high highest (strong)? : strongest
hot hottest (simple)? : simplest
hot hottest (strong)? : strongest
large largest (simple)? : simplest
long longest (strong)? : strongest
low lowest (simple)? : simplest
low lowest (strong)? : strongest
lucky luckiest (simple)? : simplest
lucky luckiest (smart)? : smartest
lucky luckiest (strong)? : strongest
lucky luckiest (bright)? : brightest
quick quickest (simple)? : simplest
quick quickest (smart)? : smartest
quick quickest (bright)? : brightest
sharp sharpest (simple)? : simplest
sharp sharpest (smart)? : smartest
sharp sharpest (strong)? : strongest
sharp sharpest (bright)? : brightest
simple simplest (smart)? : smartest
simple simplest (strong)? : strongest
simple simplest (bright)? : brightest
slow slowest (strong)? : strongest
slow slowest (simple)? : simplest
small smallest (strong)? : strongest
small smallest (simple)? : simplest
smart smartest (strong)? : strongest
smart smartest (simple)? : simplest
strange strangest (strong)? : strongest
strange strangest (weak)? : weakest
strange strangest (bright)? : brightest
strange strangest (simple)? : simplest
strange strangest (smart)? : smartest
strong strongest (simple)? : simplest
strong strongest (smart)? : smartest
sweet sweetest (bright)? : brightest
sweet sweetest (simple)? : simplest
sweet sweetest (strong)? : strongest
tall tallest (simple)? : simplest
tall tallest (strong)? : strongest
tasty tastiest (simple)? : simplest
warm warmest (simple)? : simplest
warm warmest (smart)? : smartest
warm warmest (strong)? : strongest
weak weakest (bright)? : brightest
weak weakest (simple)? : simplest
weak weakest (smart)? : smartest
weak weakest (strong)? : strongest
weird weirdest (simple)? : simplest
weird weirdest (strong)? : strongest
wide widest (bright)? : brightest
wide widest (simple)? : simplest
wide widest (smart)? : smartest
wide widest (strong)? : strongest
young youngest (simple)? : simplest

--------------------- gram5-present-participle.txt---------------------
code coding (debug)? : debugging
code coding (discover)? : discovering
code coding (enhance)? : enhancing
code coding (generate)? : generating
code coding (go)? : going
code coding (implement)? : implementing
code coding (increase)? : increasing
code coding (invent)? : inventing
code coding (listen)? : listening
code coding (look)? : looking
code coding (move)? : moving
code coding (play)? : playing
code coding (predict)? : predicting
code coding (run)? : running
code coding (scream)? : screaming
code coding (shuffle)? : shuffling
code coding (sing)? : singing
code coding (sit)? : sitting
code coding (slow)? : slowing
code coding (swim)? : swimming
code coding (vanish)? : vanishing
dance dancing (debug)? : debugging
dance dancing (describe)? : describing
dance dancing (discover)? : discovering
dance dancing (enhance)? : enhancing
dance dancing (fly)? : flying
dance dancing (generate)? : generating
dance dancing (go)? : going
dance dancing (implement)? : implementing
dance dancing (invent)? : inventing
dance dancing (listen)? : listening
dance dancing (look)? : looking
dance dancing (move)? : moving
dance dancing (play)? : playing
dance dancing (predict)? : predicting
dance dancing (read)? : reading
dance dancing (run)? : running
dance dancing (scream)? : screaming
dance dancing (shuffle)? : shuffling
dance dancing (sing)? : singing
dance dancing (swim)? : swimming
dance dancing (vanish)? : vanishing
dance dancing (write)? : writing
debug debugging (describe)? : describing
debug debugging (discover)? : discovering
debug debugging (enhance)? : enhancing
debug debugging (fly)? : flying
debug debugging (go)? : going
debug debugging (implement)? : implementing
debug debugging (invent)? : inventing
debug debugging (jump)? : jumping
debug debugging (listen)? : listening
debug debugging (look)? : looking
debug debugging (move)? : moving
debug debugging (play)? : playing
debug debugging (predict)? : predicting
debug debugging (run)? : running
debug debugging (scream)? : screaming
debug debugging (shuffle)? : shuffling
debug debugging (sing)? : singing
debug debugging (sit)? : sitting
debug debugging (slow)? : slowing
debug debugging (swim)? : swimming
debug debugging (vanish)? : vanishing
debug debugging (write)? : writing
decrease decreasing (describe)? : describing
decrease decreasing (discover)? : discovering
decrease decreasing (enhance)? : enhancing
decrease decreasing (fly)? : flying
decrease decreasing (go)? : going
decrease decreasing (implement)? : implementing
decrease decreasing (invent)? : inventing
decrease decreasing (jump)? : jumping
decrease decreasing (listen)? : listening
decrease decreasing (look)? : looking
decrease decreasing (move)? : moving
decrease decreasing (play)? : playing
decrease decreasing (predict)? : predicting
decrease decreasing (read)? : reading
decrease decreasing (run)? : running
decrease decreasing (scream)? : screaming
decrease decreasing (shuffle)? : shuffling
decrease decreasing (sing)? : singing
decrease decreasing (sit)? : sitting
decrease decreasing (slow)? : slowing
decrease decreasing (swim)? : swimming
decrease decreasing (vanish)? : vanishing
decrease decreasing (write)? : writing
decrease decreasing (dance)? : dancing
decrease decreasing (debug)? : debugging
describe describing (discover)? : discovering
describe describing (enhance)? : enhancing
describe describing (generate)? : generating
describe describing (go)? : going
describe describing (invent)? : inventing
describe describing (look)? : looking
describe describing (move)? : moving
describe describing (play)? : playing
describe describing (predict)? : predicting
describe describing (run)? : running
describe describing (scream)? : screaming
describe describing (shuffle)? : shuffling
describe describing (sing)? : singing
describe describing (sit)? : sitting
describe describing (swim)? : swimming
describe describing (vanish)? : vanishing
describe describing (write)? : writing
describe describing (debug)? : debugging
discover discovering (enhance)? : enhancing
discover discovering (fly)? : flying
discover discovering (go)? : going
discover discovering (implement)? : implementing
discover discovering (invent)? : inventing
discover discovering (listen)? : listening
discover discovering (look)? : looking
discover discovering (move)? : moving
discover discovering (play)? : playing
discover discovering (predict)? : predicting
discover discovering (read)? : reading
discover discovering (run)? : running
discover discovering (scream)? : screaming
discover discovering (shuffle)? : shuffling
discover discovering (sing)? : singing
discover discovering (sit)? : sitting
discover discovering (swim)? : swimming
discover discovering (vanish)? : vanishing
discover discovering (walk)? : walking
discover discovering (write)? : writing
discover discovering (dance)? : dancing
discover discovering (debug)? : debugging
enhance enhancing (fly)? : flying
enhance enhancing (generate)? : generating
enhance enhancing (go)? : going
enhance enhancing (invent)? : inventing
enhance enhancing (listen)? : listening
enhance enhancing (look)? : looking
enhance enhancing (move)? : moving
enhance enhancing (play)? : playing
enhance enhancing (predict)? : predicting
enhance enhancing (read)? : reading
enhance enhancing (run)? : running
enhance enhancing (scream)? : screaming
enhance enhancing (shuffle)? : shuffling
enhance enhancing (sing)? : singing
enhance enhancing (sit)? : sitting
enhance enhancing (swim)? : swimming
enhance enhancing (vanish)? : vanishing
enhance enhancing (write)? : writing
enhance enhancing (debug)? : debugging
enhance enhancing (discover)? : discovering
fly flying (go)? : going
fly flying (invent)? : inventing
fly flying (listen)? : listening
fly flying (move)? : moving
fly flying (play)? : playing
fly flying (predict)? : predicting
fly flying (read)? : reading
fly flying (run)? : running
fly flying (scream)? : screaming
fly flying (shuffle)? : shuffling
fly flying (sing)? : singing
fly flying (sit)? : sitting
fly flying (swim)? : swimming
fly flying (vanish)? : vanishing
fly flying (write)? : writing
fly flying (debug)? : debugging
fly flying (discover)? : discovering
fly flying (enhance)? : enhancing
generate generating (implement)? : implementing
generate generating (invent)? : inventing
generate generating (jump)? : jumping
generate generating (look)? : looking
generate generating (move)? : moving
generate generating (play)? : playing
generate generating (predict)? : predicting
generate generating (read)? : reading
generate generating (run)? : running
generate generating (scream)? : screaming
generate generating (shuffle)? : shuffling
generate generating (sing)? : singing
generate generating (sit)? : sitting
generate generating (slow)? : slowing
generate generating (swim)? : swimming
generate generating (vanish)? : vanishing
generate generating (write)? : writing
generate generating (debug)? : debugging
generate generating (discover)? : discovering
generate generating (enhance)? : enhancing
generate generating (fly)? : flying
go going (implement)? : implementing
go going (invent)? : inventing
go going (listen)? : listening
go going (look)? : looking
go going (move)? : moving
go going (play)? : playing
go going (predict)? : predicting
go going (read)? : reading
go going (run)? : running
go going (scream)? : screaming
go going (shuffle)? : shuffling
go going (sing)? : singing
go going (sit)? : sitting
go going (swim)? : swimming
go going (vanish)? : vanishing
go going (debug)? : debugging
go going (describe)? : describing
go going (discover)? : discovering
go going (enhance)? : enhancing
implement implementing (look)? : looking
implement implementing (move)? : moving
implement implementing (play)? : playing
implement implementing (predict)? : predicting
implement implementing (read)? : reading
implement implementing (run)? : running
implement implementing (scream)? : screaming
implement implementing (shuffle)? : shuffling
implement implementing (sing)? : singing
implement implementing (sit)? : sitting
implement implementing (swim)? : swimming
implement implementing (vanish)? : vanishing
implement implementing (write)? : writing
implement implementing (debug)? : debugging
implement implementing (discover)? : discovering
implement implementing (enhance)? : enhancing
implement implementing (fly)? : flying
implement implementing (go)? : going
increase increasing (invent)? : inventing
increase increasing (jump)? : jumping
increase increasing (listen)? : listening
increase increasing (look)? : looking
increase increasing (move)? : moving
increase increasing (play)? : playing
increase increasing (predict)? : predicting
increase increasing (read)? : reading
increase increasing (run)? : running
increase increasing (scream)? : screaming
increase increasing (shuffle)? : shuffling
increase increasing (sing)? : singing
increase increasing (sit)? : sitting
increase increasing (swim)? : swimming
increase increasing (vanish)? : vanishing
increase increasing (dance)? : dancing
increase increasing (debug)? : debugging
increase increasing (describe)? : describing
increase increasing (discover)? : discovering
increase increasing (enhance)? : enhancing
increase increasing (fly)? : flying
increase increasing (go)? : going
increase increasing (implement)? : implementing
invent inventing (listen)? : listening
invent inventing (look)? : looking
invent inventing (move)? : moving
invent inventing (play)? : playing
invent inventing (predict)? : predicting
invent inventing (read)? : reading
invent inventing (run)? : running
invent inventing (scream)? : screaming
invent inventing (shuffle)? : shuffling
invent inventing (sing)? : singing
invent inventing (sit)? : sitting
invent inventing (swim)? : swimming
invent inventing (vanish)? : vanishing
invent inventing (write)? : writing
invent inventing (debug)? : debugging
invent inventing (discover)? : discovering
invent inventing (enhance)? : enhancing
invent inventing (fly)? : flying
invent inventing (go)? : going
jump jumping (look)? : looking
jump jumping (move)? : moving
jump jumping (play)? : playing
jump jumping (predict)? : predicting
jump jumping (run)? : running
jump jumping (scream)? : screaming
jump jumping (shuffle)? : shuffling
jump jumping (sing)? : singing
jump jumping (sit)? : sitting
jump jumping (vanish)? : vanishing
jump jumping (debug)? : debugging
jump jumping (discover)? : discovering
jump jumping (enhance)? : enhancing
jump jumping (generate)? : generating
jump jumping (go)? : going
jump jumping (invent)? : inventing
listen listening (look)? : looking
listen listening (move)? : moving
listen listening (play)? : playing
listen listening (predict)? : predicting
listen listening (read)? : reading
listen listening (run)? : running
listen listening (scream)? : screaming
listen listening (shuffle)? : shuffling
listen listening (sing)? : singing
listen listening (sit)? : sitting
listen listening (swim)? : swimming
listen listening (vanish)? : vanishing
listen listening (debug)? : debugging
listen listening (discover)? : discovering
listen listening (enhance)? : enhancing
listen listening (go)? : going
listen listening (implement)? : implementing
listen listening (invent)? : inventing
look looking (move)? : moving
look looking (play)? : playing
look looking (predict)? : predicting
look looking (read)? : reading
look looking (run)? : running
look looking (scream)? : screaming
look looking (shuffle)? : shuffling
look looking (sing)? : singing
look looking (swim)? : swimming
look looking (vanish)? : vanishing
look looking (write)? : writing
look looking (debug)? : debugging
look looking (describe)? : describing
look looking (discover)? : discovering
look looking (enhance)? : enhancing
look looking (go)? : going
look looking (invent)? : inventing
look looking (listen)? : listening
move moving (play)? : playing
move moving (predict)? : predicting
move moving (read)? : reading
move moving (run)? : running
move moving (scream)? : screaming
move moving (shuffle)? : shuffling
move moving (sing)? : singing
move moving (sit)? : sitting
move moving (swim)? : swimming
move moving (vanish)? : vanishing
move moving (debug)? : debugging
move moving (discover)? : discovering
move moving (enhance)? : enhancing
move moving (generate)? : generating
move moving (go)? : going
move moving (implement)? : implementing
move moving (invent)? : inventing
play playing (predict)? : predicting
play playing (read)? : reading
play playing (run)? : running
play playing (scream)? : screaming
play playing (shuffle)? : shuffling
play playing (sing)? : singing
play playing (sit)? : sitting
play playing (swim)? : swimming
play playing (vanish)? : vanishing
play playing (write)? : writing
play playing (debug)? : debugging
play playing (discover)? : discovering
play playing (enhance)? : enhancing
play playing (go)? : going
play playing (implement)? : implementing
play playing (invent)? : inventing
play playing (look)? : looking
play playing (move)? : moving
predict predicting (read)? : reading
predict predicting (run)? : running
predict predicting (scream)? : screaming
predict predicting (shuffle)? : shuffling
predict predicting (sing)? : singing
predict predicting (sit)? : sitting
predict predicting (swim)? : swimming
predict predicting (vanish)? : vanishing
predict predicting (walk)? : walking
predict predicting (write)? : writing
predict predicting (dance)? : dancing
predict predicting (debug)? : debugging
predict predicting (discover)? : discovering
predict predicting (enhance)? : enhancing
predict predicting (fly)? : flying
predict predicting (generate)? : generating
predict predicting (go)? : going
predict predicting (implement)? : implementing
predict predicting (invent)? : inventing
predict predicting (jump)? : jumping
predict predicting (listen)? : listening
predict predicting (look)? : looking
predict predicting (move)? : moving
predict predicting (play)? : playing
read reading (run)? : running
read reading (scream)? : screaming
read reading (shuffle)? : shuffling
read reading (sing)? : singing
read reading (sit)? : sitting
read reading (swim)? : swimming
read reading (vanish)? : vanishing
read reading (write)? : writing
read reading (dance)? : dancing
read reading (debug)? : debugging
read reading (describe)? : describing
read reading (discover)? : discovering
read reading (enhance)? : enhancing
read reading (fly)? : flying
read reading (invent)? : inventing
read reading (listen)? : listening
read reading (look)? : looking
read reading (move)? : moving
read reading (play)? : playing
read reading (predict)? : predicting
run running (scream)? : screaming
run running (shuffle)? : shuffling
run running (sing)? : singing
run running (sit)? : sitting
run running (swim)? : swimming
run running (vanish)? : vanishing
run running (write)? : writing
run running (debug)? : debugging
run running (discover)? : discovering
run running (enhance)? : enhancing
run running (fly)? : flying
run running (go)? : going
run running (implement)? : implementing
run running (invent)? : inventing
run running (listen)? : listening
run running (move)? : moving
run running (play)? : playing
run running (predict)? : predicting
run running (read)? : reading
say saying (scream)? : screaming
say saying (shuffle)? : shuffling
say saying (swim)? : swimming
say saying (vanish)? : vanishing
say saying (debug)? : debugging
say saying (discover)? : discovering
say saying (fly)? : flying
say saying (invent)? : inventing
say saying (listen)? : listening
say saying (look)? : looking
say saying (move)? : moving
say saying (play)? : playing
say saying (predict)? : predicting
say saying (run)? : running
scream screaming (shuffle)? : shuffling
scream screaming (sing)? : singing
scream screaming (sit)? : sitting
scream screaming (slow)? : slowing
scream screaming (swim)? : swimming
scream screaming (vanish)? : vanishing
scream screaming (write)? : writing
scream screaming (dance)? : dancing
scream screaming (debug)? : debugging
scream screaming (discover)? : discovering
scream screaming (enhance)? : enhancing
scream screaming (fly)? : flying
scream screaming (go)? : going
scream screaming (implement)? : implementing
scream screaming (invent)? : inventing
scream screaming (jump)? : jumping
scream screaming (listen)? : listening
scream screaming (look)? : looking
scream screaming (move)? : moving
scream screaming (play)? : playing
scream screaming (predict)? : predicting
scream screaming (read)? : reading
scream screaming (run)? : running
see seeing (vanish)? : vanishing
see seeing (debug)? : debugging
shuffle shuffling (sing)? : singing
shuffle shuffling (sit)? : sitting
shuffle shuffling (swim)? : swimming
shuffle shuffling (vanish)? : vanishing
shuffle shuffling (write)? : writing
shuffle shuffling (dance)? : dancing
shuffle shuffling (debug)? : debugging
shuffle shuffling (discover)? : discovering
shuffle shuffling (enhance)? : enhancing
shuffle shuffling (fly)? : flying
shuffle shuffling (generate)? : generating
shuffle shuffling (go)? : going
shuffle shuffling (implement)? : implementing
shuffle shuffling (invent)? : inventing
shuffle shuffling (jump)? : jumping
shuffle shuffling (listen)? : listening
shuffle shuffling (look)? : looking
shuffle shuffling (move)? : moving
shuffle shuffling (play)? : playing
shuffle shuffling (predict)? : predicting
shuffle shuffling (read)? : reading
shuffle shuffling (run)? : running
shuffle shuffling (scream)? : screaming
sing singing (sit)? : sitting
sing singing (slow)? : slowing
sing singing (swim)? : swimming
sing singing (vanish)? : vanishing
sing singing (write)? : writing
sing singing (debug)? : debugging
sing singing (discover)? : discovering
sing singing (enhance)? : enhancing
sing singing (fly)? : flying
sing singing (generate)? : generating
sing singing (go)? : going
sing singing (implement)? : implementing
sing singing (invent)? : inventing
sing singing (listen)? : listening
sing singing (look)? : looking
sing singing (move)? : moving
sing singing (play)? : playing
sing singing (predict)? : predicting
sing singing (read)? : reading
sing singing (run)? : running
sing singing (scream)? : screaming
sing singing (shuffle)? : shuffling
sit sitting (swim)? : swimming
sit sitting (vanish)? : vanishing
sit sitting (debug)? : debugging
sit sitting (discover)? : discovering
sit sitting (enhance)? : enhancing
sit sitting (fly)? : flying
sit sitting (generate)? : generating
sit sitting (go)? : going
sit sitting (invent)? : inventing
sit sitting (listen)? : listening
sit sitting (move)? : moving
sit sitting (play)? : playing
sit sitting (predict)? : predicting
sit sitting (read)? : reading
sit sitting (run)? : running
sit sitting (scream)? : screaming
sit sitting (shuffle)? : shuffling
sit sitting (sing)? : singing
slow slowing (swim)? : swimming
slow slowing (vanish)? : vanishing
slow slowing (write)? : writing
slow slowing (dance)? : dancing
slow slowing (debug)? : debugging
slow slowing (discover)? : discovering
slow slowing (enhance)? : enhancing
slow slowing (fly)? : flying
slow slowing (generate)? : generating
slow slowing (go)? : going
slow slowing (invent)? : inventing
slow slowing (jump)? : jumping
slow slowing (listen)? : listening
slow slowing (move)? : moving
slow slowing (play)? : playing
slow slowing (predict)? : predicting
slow slowing (read)? : reading
slow slowing (run)? : running
slow slowing (scream)? : screaming
slow slowing (shuffle)? : shuffling
slow slowing (sing)? : singing
slow slowing (sit)? : sitting
swim swimming (vanish)? : vanishing
swim swimming (debug)? : debugging
swim swimming (describe)? : describing
swim swimming (discover)? : discovering
swim swimming (enhance)? : enhancing
swim swimming (fly)? : flying
swim swimming (generate)? : generating
swim swimming (go)? : going
swim swimming (implement)? : implementing
swim swimming (invent)? : inventing
swim swimming (listen)? : listening
swim swimming (look)? : looking
swim swimming (move)? : moving
swim swimming (play)? : playing
swim swimming (predict)? : predicting
swim swimming (read)? : reading
swim swimming (run)? : running
swim swimming (scream)? : screaming
swim swimming (shuffle)? : shuffling
swim swimming (sing)? : singing
swim swimming (sit)? : sitting
swim swimming (slow)? : slowing
think thinking (vanish)? : vanishing
think thinking (debug)? : debugging
think thinking (enhance)? : enhancing
think thinking (generate)? : generating
think thinking (invent)? : inventing
think thinking (play)? : playing
think thinking (predict)? : predicting
think thinking (run)? : running
think thinking (scream)? : screaming
think thinking (shuffle)? : shuffling
think thinking (sit)? : sitting
think thinking (swim)? : swimming
vanish vanishing (write)? : writing
vanish vanishing (dance)? : dancing
vanish vanishing (debug)? : debugging
vanish vanishing (describe)? : describing
vanish vanishing (discover)? : discovering
vanish vanishing (enhance)? : enhancing
vanish vanishing (fly)? : flying
vanish vanishing (generate)? : generating
vanish vanishing (go)? : going
vanish vanishing (invent)? : inventing
vanish vanishing (listen)? : listening
vanish vanishing (look)? : looking
vanish vanishing (move)? : moving
vanish vanishing (play)? : playing
vanish vanishing (predict)? : predicting
vanish vanishing (read)? : reading
vanish vanishing (run)? : running
vanish vanishing (scream)? : screaming
vanish vanishing (shuffle)? : shuffling
vanish vanishing (sing)? : singing
vanish vanishing (sit)? : sitting
vanish vanishing (slow)? : slowing
vanish vanishing (swim)? : swimming
walk walking (debug)? : debugging
walk walking (discover)? : discovering
walk walking (enhance)? : enhancing
walk walking (go)? : going
walk walking (invent)? : inventing
walk walking (play)? : playing
walk walking (predict)? : predicting
walk walking (read)? : reading
walk walking (scream)? : screaming
walk walking (shuffle)? : shuffling
walk walking (swim)? : swimming
walk walking (vanish)? : vanishing
write writing (debug)? : debugging
write writing (discover)? : discovering
write writing (enhance)? : enhancing
write writing (implement)? : implementing
write writing (invent)? : inventing
write writing (look)? : looking
write writing (move)? : moving
write writing (play)? : playing
write writing (predict)? : predicting
write writing (read)? : reading
write writing (run)? : running
write writing (scream)? : screaming
write writing (shuffle)? : shuffling
write writing (sing)? : singing
write writing (sit)? : sitting
write writing (swim)? : swimming
write writing (vanish)? : vanishing

--------------------- gram6-nationality-adjective.txt---------------------
Albania Albanian (Cambodia)? : Cambodian
Albania Albanian (Moldova)? : Moldovan
Albania Albanian (Slovakia)? : Slovakian
Argentina Argentinean (Moldova)? : Moldovan
Australia Australian (Cambodia)? : Cambodian
Australia Australian (Moldova)? : Moldovan
Austria Austrian (Moldova)? : Moldovan
Belarus Belorussian (Colombia)? : Colombian
Belarus Belorussian (Israel)? : Israeli
Belarus Belorussian (Moldova)? : Moldovan
Brazil Brazilian (Cambodia)? : Cambodian
Brazil Brazilian (Moldova)? : Moldovan
Bulgaria Bulgarian (Cambodia)? : Cambodian
Bulgaria Bulgarian (Moldova)? : Moldovan
Cambodia Cambodian (India)? : Indian
Cambodia Cambodian (Macedonia)? : Macedonian
Cambodia Cambodian (Moldova)? : Moldovan
Cambodia Cambodian (Slovakia)? : Slovakian
Chile Chilean (Moldova)? : Moldovan
Chile Chilean (Slovakia)? : Slovakian
China Chinese (Moldova)? : Moldovan
China Chinese (Cambodia)? : Cambodian
Colombia Colombian (Moldova)? : Moldovan
Colombia Colombian (Cambodia)? : Cambodian
Croatia Croatian (Moldova)? : Moldovan
Croatia Croatian (Cambodia)? : Cambodian
Denmark Danish (Moldova)? : Moldovan
Denmark Danish (Cambodia)? : Cambodian
Egypt Egyptian (Macedonia)? : Macedonian
Egypt Egyptian (Moldova)? : Moldovan
Egypt Egyptian (Slovakia)? : Slovakian
Egypt Egyptian (Cambodia)? : Cambodian
England English (Moldova)? : Moldovan
England English (Cambodia)? : Cambodian
France French (Moldova)? : Moldovan
France French (Cambodia)? : Cambodian
Germany German (Moldova)? : Moldovan
Germany German (Cambodia)? : Cambodian
Greece Greek (Moldova)? : Moldovan
Greece Greek (Cambodia)? : Cambodian
Iceland Icelandic (India)? : Indian
Iceland Icelandic (Moldova)? : Moldovan
India Indian (Moldova)? : Moldovan
India Indian (Cambodia)? : Cambodian
Ireland Irish (Moldova)? : Moldovan
Ireland Irish (Cambodia)? : Cambodian
Israel Israeli (Moldova)? : Moldovan
Israel Israeli (Slovakia)? : Slovakian
Israel Israeli (Cambodia)? : Cambodian
Italy Italian (Moldova)? : Moldovan
Italy Italian (Cambodia)? : Cambodian
Japan Japanese (Moldova)? : Moldovan
Korea Korean (Moldova)? : Moldovan
Korea Korean (Slovakia)? : Slovakian
Korea Korean (Cambodia)? : Cambodian
Macedonia Macedonian (Moldova)? : Moldovan
Macedonia Macedonian (Slovakia)? : Slovakian
Macedonia Macedonian (Cambodia)? : Cambodian
Malta Maltese (Moldova)? : Moldovan
Malta Maltese (Slovakia)? : Slovakian
Malta Maltese (Cambodia)? : Cambodian
Mexico Mexican (Moldova)? : Moldovan
Mexico Mexican (Slovakia)? : Slovakian
Mexico Mexican (Cambodia)? : Cambodian
Moldova Moldovan (Slovakia)? : Slovakian
Moldova Moldovan (Albania)? : Albanian
Moldova Moldovan (Bulgaria)? : Bulgarian
Moldova Moldovan (Cambodia)? : Cambodian
Moldova Moldovan (Chile)? : Chilean
Moldova Moldovan (Croatia)? : Croatian
Moldova Moldovan (Egypt)? : Egyptian
Moldova Moldovan (India)? : Indian
Moldova Moldovan (Macedonia)? : Macedonian
Netherlands Dutch (Cambodia)? : Cambodian
Norway Norwegian (Cambodia)? : Cambodian
Norway Norwegian (Moldova)? : Moldovan
Peru Peruvian (Slovakia)? : Slovakian
Peru Peruvian (Cambodia)? : Cambodian
Peru Peruvian (Macedonia)? : Macedonian
Peru Peruvian (Moldova)? : Moldovan
Poland Polish (Cambodia)? : Cambodian
Poland Polish (Moldova)? : Moldovan
Portugal Portuguese (Cambodia)? : Cambodian
Portugal Portuguese (Moldova)? : Moldovan
Russia Russian (Cambodia)? : Cambodian
Russia Russian (Moldova)? : Moldovan
Slovakia Slovakian (Cambodia)? : Cambodian
Slovakia Slovakian (Macedonia)? : Macedonian
Slovakia Slovakian (Moldova)? : Moldovan
Spain Spanish (Cambodia)? : Cambodian
Spain Spanish (Moldova)? : Moldovan
Sweden Swedish (Cambodia)? : Cambodian
Sweden Swedish (Moldova)? : Moldovan
Switzerland Swiss (Cambodia)? : Cambodian
Switzerland Swiss (Moldova)? : Moldovan
Thailand Thai (Moldova)? : Moldovan
Thailand Thai (Slovakia)? : Slovakian
Ukraine Ukrainian (Cambodia)? : Cambodian
Ukraine Ukrainian (Moldova)? : Moldovan

--------------------- gram7-past-tense.txt---------------------
dancing danced (decreasing)? : decreased
dancing danced (describing)? : described
dancing danced (enhancing)? : enhanced
dancing danced (falling)? : fell
dancing danced (generating)? : generated
dancing danced (going)? : went
dancing danced (hiding)? : hid
dancing danced (hitting)? : hit
dancing danced (implementing)? : implemented
dancing danced (increasing)? : increased
dancing danced (listening)? : listened
dancing danced (looking)? : looked
dancing danced (moving)? : moved
dancing danced (paying)? : paid
dancing danced (playing)? : played
dancing danced (predicting)? : predicted
dancing danced (reading)? : read
dancing danced (running)? : ran
dancing danced (selling)? : sold
dancing danced (sitting)? : sat
dancing danced (slowing)? : slowed
dancing danced (spending)? : spent
dancing danced (taking)? : took
dancing danced (vanishing)? : vanished
dancing danced (walking)? : walked
decreasing decreased (describing)? : described
decreasing decreased (enhancing)? : enhanced
decreasing decreased (generating)? : generated
decreasing decreased (hiding)? : hid
decreasing decreased (hitting)? : hit
decreasing decreased (implementing)? : implemented
decreasing decreased (listening)? : listened
decreasing decreased (paying)? : paid
decreasing decreased (playing)? : played
decreasing decreased (reading)? : read
decreasing decreased (running)? : ran
decreasing decreased (sitting)? : sat
decreasing decreased (slowing)? : slowed
decreasing decreased (spending)? : spent
decreasing decreased (taking)? : took
decreasing decreased (vanishing)? : vanished
decreasing decreased (dancing)? : danced
describing described (enhancing)? : enhanced
describing described (falling)? : fell
describing described (hiding)? : hid
describing described (implementing)? : implemented
describing described (increasing)? : increased
describing described (looking)? : looked
describing described (paying)? : paid
describing described (playing)? : played
describing described (reading)? : read
describing described (running)? : ran
describing described (sitting)? : sat
describing described (slowing)? : slowed
describing described (spending)? : spent
describing described (taking)? : took
describing described (vanishing)? : vanished
describing described (walking)? : walked
describing described (dancing)? : danced
describing described (decreasing)? : decreased
enhancing enhanced (hiding)? : hid
enhancing enhanced (listening)? : listened
enhancing enhanced (paying)? : paid
enhancing enhanced (playing)? : played
enhancing enhanced (running)? : ran
enhancing enhanced (sitting)? : sat
enhancing enhanced (slowing)? : slowed
enhancing enhanced (spending)? : spent
enhancing enhanced (taking)? : took
enhancing enhanced (vanishing)? : vanished
enhancing enhanced (walking)? : walked
enhancing enhanced (dancing)? : danced
enhancing enhanced (decreasing)? : decreased
enhancing enhanced (describing)? : described
falling fell (generating)? : generated
falling fell (implementing)? : implemented
falling fell (increasing)? : increased
falling fell (listening)? : listened
falling fell (playing)? : played
falling fell (reading)? : read
falling fell (running)? : ran
falling fell (sitting)? : sat
falling fell (taking)? : took
falling fell (dancing)? : danced
falling fell (decreasing)? : decreased
falling fell (describing)? : described
falling fell (enhancing)? : enhanced
feeding fed (increasing)? : increased
feeding fed (listening)? : listened
feeding fed (looking)? : looked
feeding fed (paying)? : paid
feeding fed (playing)? : played
feeding fed (running)? : ran
feeding fed (sitting)? : sat
feeding fed (spending)? : spent
feeding fed (taking)? : took
feeding fed (dancing)? : danced
feeding fed (decreasing)? : decreased
